,id,createdDate,modifiedDate,isActive,company,firstName,lastName,jobTitle,email,website,phone,fax,mobile,address1,address2,city,state,postCode,country,postalAddress1,postalAddress2,postalCity,postalPostCode,postalState,postalCountry,notes,integrationRef,customFields,secondaryContacts,branchType,stockControlOptions,taxStatus,accountNumber,branchLocations
0,35810,2019-09-09T23:37:18Z,2019-09-09T23:37:18Z,True,Virtual Stock - DONOT CHANGE,,,,,,,,,,,,,,,,,,,,,,,"{'members_1000': None, 'members_1001': None}",[],01 Head Office,,,,[]
1,34348,2019-07-09T01:27:57Z,2019-07-09T01:28:04Z,True,Loan Unit Branch - Ponsonby,,,,,,,,,49 Mackelvie Street,,,,,,,,,,,,,,"{'members_1000': None, 'members_1001': None}",[],02 Warehouse,,,,[]
2,34346,2019-07-09T01:16:38Z,2019-07-09T01:16:38Z,True,Loan Unit Branch - Albany,,,,,,,,,3/2 Tawa Drive,Rosedale,Auckland,Auckland,0632,New Zealand,,,,,,,"9 Jul 2019 1:15 pm - Sam Shen
instructed by Jay",,"{'members_1000': None, 'members_1001': None}",[],02 Warehouse,,,,[]
3,26526,2018-07-06T21:05:19Z,2018-07-06T21:06:15Z,True,Ponsonby Display,Ponsonby Display,,,,,,,,,,,,,,,,,,,,,,"{'members_1000': None, 'members_1001': None}",[],03 Retail Branch,,,,[]
4,26525,2018-07-06T21:04:41Z,2018-07-06T21:04:49Z,True,Albany Display,Albany Display,,,,,,,,,,,,,,,,,,,,,,"{'members_1000': None, 'members_1001': None}",[],03 Retail Branch,,,,[]
5,19937,2017-10-13T22:14:46Z,2017-10-13T22:14:46Z,True,Wholesale Sales,Jeff,Shen,,,,,,,,,,,,,,,,,,,,,"{'members_1000': None, 'members_1001': None}",[],03 Retail Branch,,,,[]
6,19936,2017-10-13T22:14:03Z,2017-10-13T22:14:03Z,True,Online Sales,Arneth,Murania,,,,,,,,,,,,,,,,,,,,,"{'members_1000': None, 'members_1001': None}",[],03 Retail Branch,,,,[]
7,18532,2017-08-09T23:33:30Z,2017-08-09T23:33:30Z,True,Tradevine Sales,,,,,,,,,,,,,,,,,,,,,,,"{'members_1000': None, 'members_1001': None}",[],03 Retail Branch,,15% GST on Income,,[]
8,18531,2017-08-09T23:33:17Z,2017-08-09T23:51:55Z,True,Magento Sales,,,,,,,,,,,,,,,,,,,,,,,"{'members_1000': None, 'members_1001': None}",[],03 Retail Branch,,15% GST on Income,,[]
9,6,2016-09-28T03:29:59Z,2016-09-28T03:30:02Z,True,Silverdale Warehouse,ZD,Zhou,,jeff@photogear.co.nz,www.photogear.co.nz,02102343301,,02102343301,Wilks Road,,Auckland,Auckland,0632,New Zealand,6/20 Constellation Drive,,Auckland,0632,Auckland,New Zealand,,,"{'members_1000': None, 'members_1001': None}",[],02 Warehouse,,,,[]
10,5,2016-09-28T03:29:14Z,2021-03-04T01:52:00Z,True,Ponsonby Branch,Jeff,Shen,,jeff@photogear.co.nz,www.photogear.co.nz,093788678,,,"49 Mackelvie Street,",Ponsonby,Auckland,,1021,New Zealand,,,,,,,,,"{'members_1000': '', 'members_1001': ''}",[],03 Retail Branch,,,,[]
11,3,2015-03-09T22:36:40Z,2020-05-13T23:56:38Z,True,Albany Branch,Jay,Zhou,,jay@photogear.co.nz,,09-4792886,,02102343301,3/2 Tawa Drive,Rosedale,Auckland,,0632,NZ,3/2 Tawa Drive,Rosedale,Auckland,0632,,NZ,,,"{'members_1000': '', 'members_1001': ''}",[],03 Retail Branch,,,,"[{'zone': 'Showroom', 'bins': ['Main', 'Lighting Room', 'Rigging Room', 'Studio']}, {'zone': 'Upstairs Storage', 'bins': ['Rack1', 'Rack2', 'Rack3', 'Rack4', 'Rack5', 'Rack6', 'Rack7', 'Rack8', 'Rack9']}, {'zone': 'Container', 'bins': []}, {'zone': 'Upstairs Office', 'bins': []}]"
